timestamp,open,high,low,close,volume
2026-04-03T18:00:00-04:00,3200.0,3203.0,3198.0,3201.0,100
2026-04-03T18:01:00-04:00,3201.0,3204.0,3199.0,3200.0,90
2026-04-03T18:02:00-04:00,3200.0,3205.0,3197.0,3204.0,120
2026-04-03T18:03:00-04:00,3204.0,3207.0,3204.5,3206.0,110
2026-04-03T18:04:00-04:00,3206.0,3208.0,3205.0,3207.0,130
2026-04-03T18:05:00-04:00,3207.0,3209.0,3206.0,3208.0,95
2026-04-04T00:00:00-04:00,3210.0,3211.0,3208.0,3209.0,105
2026-04-04T00:01:00-04:00,3209.0,3210.0,3207.5,3208.0,100
2026-04-04T00:02:00-04:00,3208.0,3208.5,3205.0,3206.0,125
2026-04-04T00:03:00-04:00,3206.0,3206.2,3204.0,3204.5,140
2026-04-04T00:04:00-04:00,3204.5,3205.0,3203.0,3203.5,150
2026-04-04T00:05:00-04:00,3203.5,3204.0,3202.0,3202.5,160
