timestamp,open,high,low,close,volume
2026-04-07T18:00:00-04:00,3248.0,3250.5,3246.5,3249.5,120
2026-04-07T18:01:00-04:00,3249.5,3253.0,3248.5,3252.5,145
2026-04-07T18:02:00-04:00,3252.5,3255.0,3251.0,3254.5,130
2026-04-07T18:03:00-04:00,3254.5,3257.0,3253.5,3256.5,110
2026-04-07T18:04:00-04:00,3256.5,3258.5,3255.5,3258.0,95
2026-04-07T18:05:00-04:00,3258.0,3260.0,3257.0,3259.5,90
2026-04-08T00:00:00-04:00,3251.5,3257.0,3247.0,3254.0,135
2026-04-08T00:01:00-04:00,3254.0,3255.5,3252.0,3253.5,115
2026-04-08T00:02:00-04:00,3253.5,3255.0,3252.5,3254.5,100
2026-04-08T00:03:00-04:00,3254.5,3256.5,3255.8,3256.0,105
2026-04-08T00:04:00-04:00,3256.0,3256.8,3255.5,3256.5,95
2026-04-08T00:05:00-04:00,3256.5,3258.0,3255.5,3257.5,90
2026-04-08T18:00:00-04:00,3255.0,3260.0,3250.5,3258.0,140
2026-04-08T18:01:00-04:00,3258.0,3259.0,3256.0,3257.0,125
2026-04-08T18:02:00-04:00,3257.0,3258.0,3254.5,3255.0,110
2026-04-08T18:03:00-04:00,3255.0,3256.0,3252.5,3253.0,100
2026-04-08T18:04:00-04:00,3253.0,3254.6,3251.0,3252.0,95
2026-04-08T18:05:00-04:00,3252.0,3253.0,3250.5,3251.0,90
2026-04-09T00:00:00-04:00,3252.0,3254.5,3251.0,3253.5,130
2026-04-09T00:01:00-04:00,3253.5,3254.0,3248.5,3249.5,145
2026-04-09T00:02:00-04:00,3249.5,3251.5,3248.0,3249.0,125
2026-04-09T00:03:00-04:00,3249.0,3249.5,3247.5,3248.0,110
2026-04-09T00:04:00-04:00,3248.0,3249.0,3247.0,3248.5,100
2026-04-09T00:05:00-04:00,3248.5,3249.5,3247.0,3248.0,95
2026-04-09T18:00:00-04:00,3258.0,3260.0,3256.5,3259.0,135
2026-04-09T18:01:00-04:00,3259.0,3259.5,3253.5,3254.5,150
2026-04-09T18:02:00-04:00,3254.5,3256.0,3252.0,3253.0,130
2026-04-09T18:03:00-04:00,3253.0,3254.0,3251.5,3252.5,115
2026-04-09T18:04:00-04:00,3252.5,3253.5,3250.5,3251.5,100
2026-04-09T18:05:00-04:00,3251.5,3252.5,3249.5,3250.5,90
2026-04-10T00:00:00-04:00,3260.0,3265.0,3256.5,3263.0,145
2026-04-10T00:01:00-04:00,3263.0,3264.5,3261.0,3264.0,120
2026-04-10T00:02:00-04:00,3264.0,3264.8,3262.0,3263.5,105
2026-04-10T00:03:00-04:00,3263.5,3264.5,3262.5,3264.0,100
2026-04-10T00:04:00-04:00,3264.0,3264.9,3262.5,3264.5,95
2026-04-10T00:05:00-04:00,3264.5,3265.5,3263.5,3265.0,90
2026-04-10T18:00:00-04:00,3263.0,3268.0,3259.0,3264.0,150
2026-04-10T18:01:00-04:00,3264.0,3265.5,3262.5,3263.5,130
2026-04-10T18:02:00-04:00,3263.5,3264.0,3261.5,3262.0,115
2026-04-10T18:03:00-04:00,3262.0,3262.0,3260.0,3260.5,105
2026-04-10T18:04:00-04:00,3260.5,3261.3,3259.5,3260.0,95
2026-04-10T18:05:00-04:00,3260.0,3260.5,3258.5,3259.0,90
2026-04-11T00:00:00-04:00,3261.0,3263.0,3259.5,3262.0,135
2026-04-11T00:01:00-04:00,3262.0,3265.5,3261.5,3265.0,150
2026-04-11T00:02:00-04:00,3265.0,3267.5,3263.5,3267.0,135
2026-04-11T00:03:00-04:00,3267.0,3269.0,3266.5,3268.5,115
2026-04-11T00:04:00-04:00,3268.5,3270.5,3268.0,3270.0,100
2026-04-11T00:05:00-04:00,3270.0,3272.0,3269.5,3271.5,90
2026-04-11T18:00:00-04:00,3265.0,3267.5,3264.0,3266.5,130
2026-04-11T18:01:00-04:00,3266.5,3269.0,3266.0,3268.5,145
2026-04-11T18:02:00-04:00,3268.5,3270.0,3267.0,3269.5,125
2026-04-11T18:03:00-04:00,3269.5,3271.0,3268.5,3270.5,110
2026-04-11T18:04:00-04:00,3270.5,3272.0,3269.5,3271.5,95
2026-04-11T18:05:00-04:00,3271.5,3273.0,3270.5,3272.5,90
2026-04-14T00:00:00-04:00,3262.0,3267.0,3258.0,3265.0,145
2026-04-14T00:01:00-04:00,3265.0,3266.5,3263.5,3264.5,125
2026-04-14T00:02:00-04:00,3264.5,3265.5,3262.5,3263.0,110
2026-04-14T00:03:00-04:00,3263.0,3264.0,3261.5,3262.0,100
2026-04-14T00:04:00-04:00,3262.0,3263.0,3260.5,3261.0,95
2026-04-14T00:05:00-04:00,3261.0,3261.5,3259.5,3260.0,90
